Stats,New York,Los Angeles,Chicago,Houston,Phoenix,Philadelphia,San Antonio,San Diego,Dallas,San Jose
pop2020,8253213,3970219,2677643,2316120,1708127,1578487,1567118,1422420,1343266,1013616
pop2010,8175133,3792621,2695598,2100263,1445632,1526006,1327407,1307402,1197816,945942
state,NY,CA,IL,TX,AZ,PA,TX,CA,TX,CA
land area,301.5,468.7,227.3,637.5,517.6,134.2,461.0,325.2,340.9,177.5
pop change,0.9550914951475408,4.682724690919551,-0.6660859668244301,10.277617612651369,18.157802262263147,3.4391083652357852,18.058590922000562,8.79744715091456,12.142933472252833,7.154138414405957
pop density 2020,27373.8407960199,8470.704075101345,11780.215574131103,3633.1294117647058,3300.090803709428,11762.198211624442,3399.3882863340564,4373.985239852399,3940.3520093869174,5710.512676056338
pop density 2010,27114.868988391376,8091.787924045232,11859.208095028596,3294.5301960784313,2792.9520865533227,11371.13263785395,2879.407809110629,4020.3013530135304,3513.6872983279554,5329.250704225352
